Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Pittsburgh Penguins,84,56,21,7,119,0.708,367,268,1.23,0.05,4.37,3.19,105,440,23.86,72,429,83.22,20,19,21,20.8,2725,13.5,2581,0.896,5
2,Boston Bruins,84,51,26,7,109,0.649,332,268,0.74,-0.03,3.95,3.19,91,435,20.92,70,413,83.05,19,8,18.4,19.7,2893,11.5,2193,0.878,4
3,Chicago Blackhawks,84,47,25,12,106,0.631,279,230,0.58,-0.01,3.32,2.74,94,510,18.43,81,490,83.47,14,10,28.5,28.5,2707,10.3,2295,0.9,9
4,Quebec Nordiques,84,47,27,10,104,0.619,351,300,0.5,-0.11,4.18,3.57,101,464,21.77,85,438,80.59,21,16,21.8,20.5,2518,13.9,2547,0.882,0
5,Detroit Red Wings,84,47,28,9,103,0.613,369,280,0.99,-0.07,4.39,3.33,113,454,24.89,79,420,81.19,18,10,21.6,22.1,2765,13.3,2425,0.885,4
6,Montreal Canadiens,84,48,30,6,102,0.607,326,280,0.49,-0.06,3.88,3.33,79,430,18.37,77,427,81.97,8,13,21.2,21.6,2669,12.2,2521,0.889,3
7,Vancouver Canucks,84,46,29,9,101,0.601,346,278,0.6,-0.21,4.12,3.31,79,457,17.29,97,452,78.54,18,11,27.5,26.9,2662,13,2473,0.888,4
8,Toronto Maple Leafs,84,44,29,11,99,0.589,288,241,0.47,-0.09,3.43,2.87,98,466,21.03,69,393,82.44,10,11,21.5,25.1,2551,11.3,2440,0.901,5
9,Calgary Flames,84,43,30,11,97,0.577,322,282,0.25,-0.22,3.83,3.36,85,447,19.02,83,492,83.13,15,9,23.1,22.6,2637,12.2,2476,0.886,3
10,Washington Capitals,84,43,34,7,93,0.554,325,286,0.57,0.11,3.87,3.4,97,445,21.8,74,433,82.91,10,8,20.2,21.8,2705,12,2386,0.88,3
11,Los Angeles Kings,84,39,35,10,88,0.524,338,340,-0.13,-0.1,4.02,4.05,102,507,20.12,114,529,78.45,16,16,26.5,26.9,2855,11.8,2888,0.882,2
12,Winnipeg Jets,84,40,37,7,87,0.518,322,320,-0.2,-0.23,3.83,3.81,98,468,20.94,80,437,81.69,3,14,21.9,24.5,2577,12.5,2749,0.884,2
13,New Jersey Devils,84,40,37,7,87,0.518,308,299,0.26,0.15,3.67,3.56,77,400,19.25,79,425,81.41,8,19,21.4,20.3,2774,11.1,2504,0.881,4
14,New York Islanders,84,40,37,7,87,0.518,335,297,0.56,0.11,3.99,3.54,90,416,21.63,77,375,79.47,12,8,20.2,21.5,2606,12.9,2471,0.88,1
15,Buffalo Sabres,84,38,36,10,86,0.512,335,297,0.41,-0.04,3.99,3.54,95,467,20.34,72,437,83.52,13,17,22.1,22.9,2671,12.5,2678,0.889,0
16,St. Louis Blues,84,37,36,11,85,0.506,282,278,0.06,0.01,3.36,3.31,93,425,21.88,70,429,83.68,14,15,22.3,23,2439,11.6,2840,0.902,2
17,Philadelphia Flyers,84,36,37,11,83,0.494,319,319,0.2,0.2,3.8,3.8,72,399,18.05,95,421,77.43,15,11,22.3,20.9,2500,12.8,2671,0.881,6
18,Minnesota North Stars,84,36,38,10,82,0.488,272,293,-0.21,0.04,3.24,3.49,85,445,19.1,81,455,82.2,9,17,22.3,20.8,2673,10.2,2489,0.882,4
19,New York Rangers,84,34,39,11,79,0.47,304,308,0.1,0.15,3.62,3.67,77,420,18.33,84,446,81.17,12,18,19.6,18.2,2794,10.9,2829,0.891,5
20,Edmonton Oilers,84,26,50,8,60,0.357,242,337,-1.19,-0.06,2.88,4.01,66,416,15.87,106,464,77.16,17,10,24,21.6,2347,10.3,2836,0.881,1
21,Hartford Whalers,84,26,52,6,58,0.345,284,369,-0.93,0.08,3.38,4.39,78,444,17.57,107,493,78.3,12,14,27.7,26.5,2192,13,2865,0.871,0
22,Tampa Bay Lightning,84,23,54,7,53,0.315,245,332,-0.96,0.08,2.92,3.95,74,424,17.45,101,395,74.43,8,12,19.3,20.5,2539,9.6,2554,0.87,1
23,Ottawa Senators,84,10,70,4,24,0.143,202,395,-2.1,0.2,2.4,4.7,66,448,14.73,115,460,75,7,11,20.1,20.4,2281,8.9,2673,0.852,0
24,San Jose Sharks,84,11,71,2,24,0.143,218,414,-2.29,0.05,2.6,4.93,66,409,16.14,113,483,76.6,13,15,25.3,21.9,2384,9.1,3080,0.866,1
